 
test4\huge-length-dummy-sequence.[0000001-0086400].dpx - 86400 frames
 
         2766818 function calls (2766758 primitive calls) in 17.038 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010   17.038   17.038 pySequenceTester.py:8(<module>)
        1    0.009    0.009   11.082   11.082 pySequenceTester.py:148(pstCleanUpFileList)
        2    0.235    0.118    9.603    4.801 {filter}
    86400    0.988    0.000    9.312    0.000 pySequenceTester.py:132(pstSmartPattern)
    86401    6.615    0.000    6.615    0.000 {nt.stat}
        1    1.375    1.375    3.261    3.261 pySequenceTester.py:176(pstBuildSequences)
        1    0.003    0.003    2.600    2.600 pySequenceTester.py:144(pstGetRawFileList)
        1    0.066    0.066    2.582    2.582 glob.py:10(glob)
    86401    0.216    0.000    2.516    0.000 glob.py:18(iglob)
   432007    1.938    0.000    1.938    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   172801    0.915    0.000    1.635    0.000 ntpath.py:63(join)
        1    0.003    0.003    1.603    1.603 glob.py:49(glob1)
        1    0.107    0.107    1.593    1.593 {map}
    86402    1.343    0.000    1.487    0.000 ntpath.py:164(split)
        1    0.334    0.334    1.042    1.042 fnmatch.py:45(filter)
   172801    0.428    0.000    0.626    0.000 ntpath.py:55(isabs)
    86401    0.289    0.000    0.466    0.000 ntpath.py:42(normcase)
        1    0.435    0.435    0.435    0.435 {nt.listdir}
        1    0.138    0.138    0.364    0.364 {method 'sort' of 'list' objects}
   259203    0.300    0.000    0.300    0.000 ntpath.py:122(splitdrive)
    86400    0.173    0.000    0.257    0.000 stat.py:49(S_ISREG)
    86399    0.226    0.000    0.226    0.000 pySequenceTester.py:122(pstSmartSort)
   259200    0.190    0.000    0.190    0.000 {method 'group' of '_sre.SRE_Match' objects}
   259522    0.150    0.000    0.150    0.000 {method 'append' of 'list' objects}
259533/259519    0.136    0.000    0.136    0.000 {len}
    86409    0.103    0.000    0.103    0.000 {method 'replace' of 'str' objects}
    86401    0.084    0.000    0.084    0.000 stat.py:24(S_IFMT)
    86404    0.075    0.000    0.075    0.000 {method 'lower' of 'str' objects}
        1    0.059    0.059    0.064    0.064 pySequenceTester.py:227(pstOutputSequences)
    86400    0.056    0.000    0.056    0.000 glob.py:60(<lambda>)
        1    0.015    0.015    0.015    0.015 {sorted}
        1    0.004    0.004    0.012    0.012 argparse.py:62(<module>)
        1    0.005    0.005    0.008    0.008 collections.py:1(<module>)
       15    0.000    0.000    0.005    0.000 re.py:228(_compile)
        8    0.005    0.001    0.005    0.001 {range}
        7    0.000    0.000    0.005    0.001 sre_compile.py:495(compile)
       14    0.000    0.000    0.005    0.000 re.py:188(compile)
        1    0.000    0.000    0.004    0.004 pySequenceTester.py:67(pstParseArgs)
        7    0.000    0.000    0.003    0.000 sre_parse.py:663(parse)
        1    0.000    0.000    0.003    0.003 argparse.py:1543(__init__)
        1    0.003    0.003    0.003    0.003 heapq.py:31(<module>)
        1    0.002    0.002    0.003    0.003 glob.py:1(<module>)
     11/7    0.000    0.000    0.003    0.000 sre_parse.py:301(_parse_sub)
     12/8    0.001    0.000    0.002    0.000 sre_parse.py:379(_parse)
        7    0.000    0.000    0.002    0.000 sre_compile.py:480(_code)
        4    0.000    0.000    0.002    0.000 argparse.py:1250(add_argument)
